location,lat,lon,asl,variable,unit,level,timeResolution,aggregation,Value
Andhra Pradesh_cropField#0,1.69154,8.10875,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Andhra Pradesh_cropField#1,3.38275,16.21654,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.91
Andhra Pradesh_cropField#2,5.07396,24.32431,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.09
Andhra Pradesh_cropField#3,6.76516,32.43210,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.75
Andhra Pradesh_cropField#4,8.45409,40.53987,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.3
Andhra Pradesh_cropField#5,10.14530,48.64766,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.65
Andhra Pradesh_cropField#6,11.83651,56.75545,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Andhra Pradesh_cropField#7,13.52772,64.86322,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Andhra Pradesh_cropField#8,15.21893,72.97328,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Andhra Pradesh_cropField#9,16.91241,81.08105,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.53
Andhra Pradesh_cropField#10,3.38047,16.21198,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.88
Andhra Pradesh_cropField#11,6.76061,32.42526,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.74
Andhra Pradesh_cropField#12,10.14075,48.63855,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.58
Andhra Pradesh_cropField#13,13.52316,64.85184,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Andhra Pradesh_cropField#14,16.90331,81.06512,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.53
Andhra Pradesh_cropField#15,2.41309,11.57994,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.95
Andhra Pradesh_cropField#16,4.82357,23.16118,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.85
Andhra Pradesh_cropField#17,7.23633,34.74243,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.15
Andhra Pradesh_cropField#18,9.64909,46.32367,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.64
Andhra Pradesh_cropField#19,12.05958,57.90492,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
