Open,Close,High,Low,Volume,Date
13.28,13.31,13.385,13.055,,03/20/25
13.485,13.275,13.485,13.265,,03/19/25
13.525,13.53,13.565,13.325,,03/18/25
13.675,13.48,13.87,13.36,,03/17/25
0,13.425,0,0,,03/14/25
0,13.525,0,0,,03/13/25
13.555,13.54,13.575,13.55,,03/12/25
13.75,13.75,13.81,13.75,,03/11/25
13.545,13.68,13.725,13.545,,03/10/25
12.865,13.245,12.935,12.865,,03/07/25
13.05,12.89,13.06,12.75,,03/06/25
0,13.06,0,0,,03/05/25
13.3,13.28,13.3,13.17,,03/04/25
13.3,13.345,13.31,13.255,,03/03/25
13.25,13.285,13.325,13.15,,02/28/25
13.305,13.28,13.305,13.19,,02/27/25
13.38,13.22,13.495,13.2,,02/26/25
13.485,13.455,13.61,13.31,,02/25/25
13.605,13.445,13.68,13.395,,02/24/25
13.945,13.6,13.95,13.58,,02/21/25
14,13.955,14.09,13.835,,02/20/25
13.985,13.995,14.07,13.94,,02/19/25
14.08,14.01,14.09,13.97,,02/18/25
14.035,14.015,14.11,13.975,,02/14/25
13.85,14.04,14.07,13.72,,02/13/25
13.99,13.81,14.08,13.785,,02/12/25
13.9,13.975,14.145,13.77,,02/11/25
13.76,13.93,13.97,13.58,,02/10/25
13.685,13.715,13.795,13.63,,02/07/25
13.54,13.65,13.83,13.5,,02/06/25
13.55,13.5,13.645,13.375,,02/05/25
13.73,13.55,13.745,13.495,,02/04/25
13.835,13.73,13.92,13.725,,02/03/25
13.99,13.845,13.99,13.75,,01/31/25
14.13,13.935,14.2,13.93,,01/30/25
14.13,14.13,14.195,14.08,,01/29/25
14.455,14.2,14.475,14.045,,01/28/25
14.63,14.475,14.7,14.455,,01/27/25
14.82,14.675,14.865,14.6,,01/24/25
14.795,14.85,14.905,14.755,,01/23/25
14.98,14.82,14.99,14.795,,01/22/25
14.805,14.99,14.995,14.72,,01/21/25
14.605,14.805,14.82,14.43,,01/17/25
14.8,14.64,14.845,14.6,,01/16/25
0,14.83,14.87,0,,01/15/25
14.435,14.535,14.5,14.435,,01/14/25
14.435,14.37,14.435,14.435,,01/13/25
14.27,14.37,14.37,14.27,,01/10/25
14.11,14.27,14.415,14.11,,01/09/25
13.885,14.035,13.955,13.885,,01/08/25
13.85,13.84,13.855,13.85,,01/07/25
13.85,13.85,13.89,13.85,,01/06/25
14,13.84,14,13.835,,01/03/25
14,14.045,14,14,,01/02/25
13.945,14.025,14.01,13.945,,12/31/24
13.855,13.61,13.875,13.57,,12/30/24
13.925,13.76,13.985,13.755,,12/27/24
14.065,13.915,14.065,13.905,,12/26/24
14.1,14.05,14.135,13.885,,12/24/24
14.155,14.01,14.285,13.69,,12/23/24
14.445,14.075,14.47,13.935,,12/20/24
14.82,14.41,14.82,14.4,,12/19/24
14.995,14.815,14.995,14.78,,12/18/24
14.95,14.98,15,14.9,,12/17/24
15.015,14.95,15.025,14.94,,12/16/24
15.02,14.98,15.04,14.965,,12/13/24
15.04,15.005,15.105,14.995,,12/12/24
15.08,15.035,15.125,15.01,,12/11/24
15.105,15.09,15.13,15.075,,12/10/24
15.05,15.11,15.14,15.035,,12/09/24
15.11,15.085,15.175,15.07,,12/06/24
15.18,15.155,15.225,15.085,,12/05/24
15.25,15.14,15.285,14.98,,12/04/24
15.29,15.295,15.315,15.16,,12/03/24
15.24,15.29,15.3,15.15,,12/02/24
15.17,15.215,15.25,15.155,,11/29/24
15.125,15.17,15.25,15.085,,11/27/24
14.905,15.125,15.15,14.885,,11/26/24
15.115,14.935,15.13,14.855,,11/25/24
15.145,15.145,15.175,15.01,,11/22/24
15.09,15.17,15.225,15.09,,11/21/24
15.06,15.12,15.15,14.975,,11/20/24
15.14,15.095,15.29,15.015,,11/19/24
15.05,15.165,15.375,15.03,,11/18/24
0,15.045,15.105,0,,11/15/24
14.765,14.675,14.765,14.765,,11/14/24
0,14.94,0,0,,11/13/24
14.73,14.81,14.82,14.73,,11/12/24
0,14.55,0,0,,11/11/24
0,14.36,0,0,,11/08/24
0,14.4,0,0,,11/07/24
14.59,14.46,14.63,14.59,,11/06/24
0,14.47,0,0,,11/05/24
0,14.71,0,0,,11/04/24
14.815,14.825,14.85,14.815,,11/01/24
14.71,14.695,14.805,14.68,,10/31/24
14.905,14.575,15.01,14.57,,10/30/24
15.03,14.94,15.06,14.89,,10/29/24
15.08,15.075,15.125,15.05,,10/28/24
14.99,15.08,15.08,14.98,,10/25/24
15.09,15.04,15.09,14.95,,10/24/24
15.085,15.105,15.17,15.08,,10/23/24
15.07,15.125,15.25,15.035,,10/22/24
15.015,15.09,15.145,14.975,,10/21/24
14.96,15,15.01,14.925,,10/18/24
15.03,14.995,15.07,14.95,,10/17/24
15,15.07,15.185,14.91,,10/16/24
15.185,15.04,15.185,14.915,,10/15/24
14.955,15.105,15.24,14.945,,10/14/24
15.055,14.995,15.06,14.95,,10/11/24
15.16,15.065,15.21,15.01,,10/10/24
15.145,15.165,15.27,15.14,,10/09/24
15.135,15.135,15.27,15.085,,10/08/24
15.135,15.115,15.3,15.075,,10/07/24
15.15,15.095,15.3,15.065,,10/04/24
15.1,15.17,15.295,15.025,,10/03/24
15.24,15.165,15.24,15.005,,10/02/24
15.265,15.3,15.37,15.15,,10/01/24
15.17,15.295,15.4,14.91,,09/30/24
15.05,15.08,15.33,14.9,,09/27/24
15.05,14.925,15.115,14.885,,09/26/24
15.24,15.025,15.245,14.965,,09/25/24
15.485,15.26,15.51,15.125,,09/24/24
15.5,15.545,15.56,15.415,,09/23/24
15.47,15.555,15.57,15.425,,09/20/24
15.46,15.52,15.525,15.4,,09/19/24
15.32,15.465,15.48,15.27,,09/18/24
15.25,15.345,15.365,15.115,,09/17/24
15.255,15.3,15.3,15.015,,09/16/24
0,15.495,0,0,,09/13/24
15.565,15.495,15.57,15.565,,09/12/24
0,15.355,0,0,,09/11/24
0,15.12,0,0,,09/10/24
15.165,14.94,15.165,15.1,,09/09/24
15.495,15.3,15.5,15.495,,09/06/24
15.38,15.48,15.48,15.38,,09/05/24
15.41,15.355,15.41,15.395,,09/04/24
15.175,15.12,15.175,15.175,,09/03/24
15.005,15.015,15.03,14.95,,08/30/24
15.035,15.04,15.185,14.91,,08/29/24
15.285,15.13,15.325,15.005,,08/28/24
15.09,15.32,15.395,15.02,,08/27/24
14.99,15.09,15.14,14.975,,08/26/24
14.87,15.005,15.035,14.745,,08/23/24
14.76,14.915,14.94,14.71,,08/22/24
14.975,14.79,14.985,14.755,,08/21/24
14.9,14.96,15.045,14.85,,08/20/24
14.58,14.89,14.91,14.53,,08/19/24
14.715,14.575,14.72,14.57,,08/16/24
14.945,14.705,14.945,14.65,,08/15/24
14.85,14.98,15.08,14.79,,08/14/24
14.525,14.79,14.98,14.485,,08/13/24
14.8,14.535,14.8,14.52,,08/12/24
14.955,14.835,15.08,14.81,,08/09/24
15.1,14.995,15.18,14.9,,08/08/24
15.225,15.155,15.235,15.07,,08/07/24
15.155,15.2,15.25,15.09,,08/06/24
14.94,15.275,15.35,14.9,,08/05/24
15.06,14.945,15.065,14.935,,08/02/24
15.215,15.07,15.38,14.805,,08/01/24
15.135,15.25,15.31,15.045,,07/31/24
15.175,15.235,15.26,15.1,,07/30/24
15.1,15.21,15.26,15.01,,07/29/24
14.995,15.235,15.245,14.915,,07/26/24
14.79,15.01,15.045,14.725,,07/25/24
14.69,14.79,15.055,14.65,,07/24/24
14.55,14.73,14.8,14.475,,07/23/24
14.265,14.6,14.86,14.265,,07/22/24
14.27,14.24,14.315,14.15,,07/19/24
14.46,14.29,14.48,14.27,,07/18/24
14.425,14.43,14.565,14.395,,07/17/24
14.7,14.405,14.775,14.395,,07/16/24
14.64,14.7,14.895,14.555,,07/15/24
18.61,19.55,19.62,18.595,,07/12/24
0,17.55,0,0,,07/11/24
17.48,17.205,17.48,17.48,,07/10/24
0,17.105,0,0,,07/09/24
17.005,17.065,17.01,17,,07/08/24
0,16.935,0,0,,07/05/24
0,16.93,0,0,,07/03/24
16.955,16.92,16.96,16.955,,07/02/24
16.99,16.955,16.99,16.99,,07/01/24
16.955,16.965,17.2,16.95,,06/28/24
18.255,16.755,18.31,16.7,,06/27/24
18.445,17.8,18.885,17.625,,06/26/24
18.59,18.61,18.62,18.42,,06/25/24
18.2,18.515,18.655,18.195,,06/24/24
18,18.2,18.23,17.97,,06/21/24
18.1,17.995,18.16,17.965,,06/20/24
17.68,18.16,18.2,17.64,,06/18/24
18.18,17.685,18.27,17.605,,06/17/24
18.64,18.185,18.725,18.11,,06/14/24
18.225,18.545,18.615,18.18,,06/13/24
17.56,18.225,18.385,17.56,,06/12/24
17.78,17.545,17.8,17.525,,06/11/24
18.28,17.72,18.28,17.63,,06/10/24
18.195,18.17,18.615,17.96,,06/07/24
17.45,18.26,18.5,17.435,,06/06/24
17.595,17.415,17.73,17.41,,06/05/24
17.58,17.575,17.8,17.51,,06/04/24
17.725,17.5,17.75,17.48,,06/03/24
17.81,17.67,17.935,17.66,,05/31/24
17.82,17.83,17.91,17.73,,05/30/24
18.08,17.84,18.14,17.81,,05/29/24
18.46,18.09,18.595,18.05,,05/28/24
18.46,18.34,18.485,18.3,,05/24/24
18.815,18.485,19.005,18.38,,05/23/24
18.58,18.75,18.8,18.565,,05/22/24
18.83,18.59,18.835,18.565,,05/21/24
18.77,18.85,18.865,18.7,,05/20/24
19.09,18.755,19.145,18.725,,05/17/24
19.035,19.1,19.18,18.83,,05/16/24
0,19.11,19.16,18.73,,05/15/24
0,18.715,0,0,,05/14/24
19.25,18.705,19.25,19.25,,05/13/24
18.76,19.255,18.84,18.76,,05/10/24
0,18.685,0,0,,05/09/24
0,18.315,0,0,,05/08/24
18.405,18.295,18.405,18.405,,05/07/24
18.4,18.405,18.42,18.18,,05/06/24
18.65,18.74,18.65,18.65,,05/03/24
18.445,18.17,18.445,18.3,,05/02/24
19.085,18.97,19.165,19.085,,05/01/24
19.105,18.89,19.15,18.85,,04/30/24
18.905,19.1,19.135,18.9,,04/29/24
19.045,18.81,19.16,18.77,,04/26/24
19.17,19.085,19.21,18.9,,04/25/24
18.995,19.2,19.22,18.955,,04/24/24
18.995,19.195,19.25,18.9,,04/23/24
18.89,18.965,19.205,18.5,,04/22/24
19.035,19,19.36,18.805,,04/19/24
18.795,19.015,19.065,18.75,,04/18/24
18.385,18.83,18.95,18.37,,04/17/24
18.42,18.365,18.92,18.2,,04/16/24
17.25,18.33,18.33,17.25,,04/15/24
16.86,17.23,17.38,16.695,,04/12/24
17.08,16.87,17.25,16.745,,04/11/24
16.68,17.15,17.48,16.615,,04/10/24
16.07,16.615,16.65,16.065,,04/09/24
16.23,16.115,16.325,16.06,,04/08/24
16.235,16.16,16.34,16.155,,04/05/24
16.39,16.2,16.5,16.18,,04/04/24
16.15,16.51,16.595,16.015,,04/03/24
16.37,16.08,16.37,16.06,,04/02/24
16.39,16.295,16.495,16.26,,04/01/24
16.61,16.36,16.715,16.335,,03/28/24
16.79,16.585,16.8,16.565,,03/27/24
17.18,16.8,17.18,16.775,,03/26/24
17.345,17.045,17.44,16.85,,03/25/24
17.535,17.345,17.575,17.34,,03/22/24
17.685,17.515,17.685,17.505,,03/21/24
17.725,17.695,17.73,17.68,,03/20/24
